                time     Apple    Amazon  Salesforce       CVS  Facebook    Google       IBM  Coca-Cola    Pfizer       UPS
time        1.000000  0.032509  0.059478    0.008757  0.039003  0.015734  0.008062  0.088975   0.037865  0.002432  0.063945
Apple       0.032509  1.000000  0.063501    0.058566  0.012761  0.027515  0.035947  0.035861   0.008515  0.022286  0.008938
Amazon      0.059478  0.063501  1.000000    0.229034  0.101721  0.177495  0.227251  0.178340   0.086577  0.158885  0.050513
Salesforce  0.008757  0.058566  0.229034    1.000000  0.097179  0.208633  0.190812  0.186823   0.079558  0.154194  0.045477
CVS         0.039003  0.012761  0.101721    0.097179  1.000000  0.082790  0.097286  0.084085   0.029986  0.085023  0.023171
Facebook    0.015734  0.027515  0.177495    0.208633  0.082790  1.000000  0.233749  0.145611   0.059646  0.126313  0.009766
Google      0.008062  0.035947  0.227251    0.190812  0.097286  0.233749  1.000000  0.219021   0.087700  0.207159  0.038179
IBM         0.088975  0.035861  0.178340    0.186823  0.084085  0.145611  0.219021  1.000000   0.078381  0.191513  0.021079
Coca-Cola   0.037865  0.008515  0.086577    0.079558  0.029986  0.059646  0.087700  0.078381   1.000000  0.052348  0.009342
Pfizer      0.002432  0.022286  0.158885    0.154194  0.085023  0.126313  0.207159  0.191513   0.052348  1.000000  0.039533
UPS         0.063945  0.008938  0.050513    0.045477  0.023171  0.009766  0.038179  0.021079   0.009342  0.039533  1.000000
